ACD	SMC1A
ACD	SMC1B
ACD	SMC3
ACD	STAG1
ACD	STAG2
ACD	STAG3
ACD	SUN1
ACD	SUN2
ACD	SYCP2
ACD	SYCP3
ACD	SYNE1
ACD	SYNE2
ACD	TERF1
ACD	TERF2
ACD	TERF2IP
ACD	TINF2
ACE	AGT
ACE2	AGT
ACER1	ACER2
ACER1	ASAH1
ACER1	ASAH2
ACER1	CERK
ACER1	CERS1
ACER1	CERS2
ACER1	CERS3
ACER1	CERS4
ACER1	CERS5
ACER1	CERS6
ACER1	DEGS1
ACER1	DEGS2
ACER1	ENPP7
ACER1	GALC
ACER1	GBA
ACER1	GBA2
ACER1	PPAP2A
ACER1	PPAP2B
