Gene,sgRNAs included,KBM7 CS,KBM7 adjusted p-value,K562 CS,K562 adjusted p-value,Jiyoye CS,Jiyoye adjusted p-value,Raji CS,Raji adjusted p-value
CAPN9,9,-0.604,0.4312759617,-2.067,0.0112120837,-0.782,0.8649842187,-0.447,0.9875853157
CAPNS1,9,0.166,0.5292623195,0.128,0.8150046574,0.052,0.7706521556,0.004,0.9451365472
CAPNS2,10,-0.534,0.4994057473,-1.325,0.7198552143,-0.156,0.7179667266,-0.274,0.4586558996
CAPRIN1,8,0.020,0.5208242499,-0.079,0.9108546235,-0.155,0.6187010585,0.091,0.9344650892
CAPRIN2,10,-0.371,0.6143951547,-0.570,0.7120104038,-0.174,0.9687918643,0.089,0.5746569426
CAPS,9,0.058,0.439935503,-0.736,0.6684868461,-0.190,0.9726951334,-0.108,0.9114962077
CAPS2,10,0.174,0.5320958246,0.388,0.0809574984,0.142,0.9522655068,0.370,0.1596469148
CAPSL,10,0.145,0.6924791171,0.445,0.0644310254,0.176,0.5215339035,0.242,0.6720992647
CAPZA1,10,-0.210,0.8619175397,-0.895,0.2147163206,-0.273,0.8624957158,-0.370,0.6298857184
CAPZA2,10,-0.197,0.8886059834,-0.108,0.5102445976,0.026,0.546108009,0.128,0.1807958533
CAPZA3,10,-0.082,0.5433341048,-0.036,0.5239946043,0.036,0.8424638473,0.259,0.1359345042
CAPZB,9,-1.725,0.0012567457,-2.077,0.0017417607,-1.637,0.003902841,-1.254,0.0118129992
CARD10,9,-0.553,0.2487922257,-1.290,0.0989870058,-0.837,0.1522211318,-0.822,0.1766801341
CARD11,10,-0.050,0.643062718,-0.473,0.9413883542,-0.194,0.7834108478,-0.340,0.6592756261
CARD14,10,-0.382,0.669970853,-0.597,0.2031699872,-0.134,0.604879611,0.084,0.831049993
CARD16,10,0.362,0.0796535824,0.474,0.0334722225,0.002,0.8712322043,-0.265,0.8602984026
CARD17,10,0.059,0.5404395109,-0.090,0.2935767874,-0.131,0.9824053416,0.235,0.3763941381
CARD18,10,0.481,0.0040456287,0.563,0.0322540594,0.132,0.6023497739,0.325,0.0656768284
CARD6,9,-0.047,0.855504697,0.214,0.3924021167,0.195,0.7336029043,0.068,0.7741682005
CARD8,8,-0.215,0.6222212735,-0.230,0.7727396925,-0.222,0.9011974694,0.112,0.6031358599
CARD9,9,-0.047,0.5460430954,-0.162,0.6589914613,-0.046,0.9970464157,-0.165,0.9896849799
CARF,9,-0.054,0.5951403139,-0.151,0.8553069951,0.229,0.3121168425,-0.030,0.9820992602
CARHSP1,10,-0.050,0.6875065132,0.063,0.8169069792,0.209,0.3926412575,0.289,0.3741763588
CARKD,10,0.260,0.4619577597,0.177,0.3645373882,0.060,0.9223522206,0.434,0.2058156937
CARM1,10,-0.720,0.0751169213,-0.410,0.7421780368,-0.466,0.879986241,-0.113,0.7382617949
CARNS1,9,-0.995,0.2768430904,-1.008,0.8727557528,-0.553,0.0203531962,-0.860,0.3248813772
CARS,8,-1.834,0.0076197214,-3.282,0.0005145382,-2.388,0.0233929845,-2.313,0.0004550308
CARS2,10,-1.764,0.0024228247,-1.013,0.0481985525,-0.608,0.0371280101,-0.496,0.0347240449
CARTPT,10,0.060,0.7209439833,0.070,0.564485503,0.106,0.811124241,-0.171,0.8512126305
CASC1,9,0.112,0.4358518856,0.328,0.4189829343,0.052,0.6408114849,0.260,0.5043779145
CASC10,10,0.217,0.4600709072,0.075,0.572232111,0.401,0.1222880654,0.090,0.8560442498
CASC3,10,-1.363,0.0107951771,-1.814,0.5173082111,-1.186,0.2974447942,-0.944,0.1683190077
CASC4,9,-0.421,0.3481599305,0.104,0.7774788928,0.007,0.8692929475,-0.246,0.8376401938
CASC5,9,-1.250,0.0020860732,-1.217,0.0145503823,-0.962,0.0229869099,-1.213,0.0144023219
CASD1,10,0.246,0.1635077243,0.395,0.0359157164,0.306,0.1881242723,0.331,0.3969387952
CASK,10,0.326,0.0666388748,0.390,0.0109510654,0.521,0.1297243432,0.527,0.015046059
CASKIN1,9,-0.396,0.932137479,-0.458,0.9174370658,-0.083,0.7360005905,-0.226,0.5029085307
CASKIN2,8,0.058,0.570619715,-0.329,0.9864736809,0.009,0.8407699976,-0.414,0.39086436
CASP1,10,0.262,0.2324811422,0.210,0.3058456072,0.014,0.9280856402,0.077,0.4418230123
CASP10,9,0.141,0.3677390815,0.494,0.1192662599,0.434,0.0601557892,0.437,0.2075009799
CASP12,10,0.096,0.6340362819,0.301,0.1445513142,-0.102,0.9508940224,0.078,0.8103026693
CASP14,9,-0.085,0.7209439833,-0.289,0.8553069951,0.121,0.7911537272,-0.020,0.93756704
CASP2,10,0.305,0.0929376621,0.645,0.014590205,0.365,0.3762442581,0.470,0.0246680368
CASP3,10,0.339,0.030683165,0.371,0.0999959245,0.523,0.0122739365,0.207,0.4427713793
CASP4,10,0.480,0.045109087,0.183,0.2999429868,0.221,0.6363280844,0.376,0.2183870675
CASP5,10,0.480,0.0546684764,0.470,0.106036399,0.208,0.2080447634,0.238,0.6274582177
CASP6,10,0.050,0.315411434,0.251,0.2831162092,0.005,0.9976792397,0.098,0.5544196516
CASP7,10,0.281,0.0473177904,0.120,0.4848330978,0.133,0.8370561908,0.078,0.6640638449
CASP8,9,0.993,0.0001603149,0.284,0.0768199539,0.668,0.0067378445,0.421,0.3145165436
CASP9,8,-0.029,0.9479697429,0.070,0.3938329603,-0.156,0.9973317556,-0.287,0.9847264545
CASQ1,9,-0.379,0.57081725,-0.782,0.3679091424,-0.280,0.7038858561,-0.443,0.5707156369
CASQ2,9,0.026,0.4526143748,-0.349,0.3987561074,-0.109,0.8676355278,-0.143,0.9185761515
CASR,9,-0.154,0.9891718822,-0.336,0.9964311941,-0.010,0.9163499731,-0.439,0.442980426
CASS4,9,0.033,0.4261975586,-0.078,0.7385999363,-0.008,0.6727203,0.156,0.737370695
CAST,10,-0.173,0.8453988424,0.145,0.5513479078,-0.012,0.9887848323,0.184,0.3889997824
CASZ1,8,-0.421,0.2583331895,-1.289,0.748817738,-0.395,0.6764019619,-0.641,0.5073656972
CAT,7,-0.341,0.6878017048,-0.270,0.6427242867,0.180,0.5308803912,0.176,0.7361055305
CATSPER1,9,-0.196,0.8869630172,-0.632,0.3563334764,0.135,0.6777301923,-0.156,0.6769026305
CATSPER2,10,0.024,0.6389469305,0.004,0.436487036,-0.026,0.9168083549,-0.239,0.8906494468
CATSPER3,9,-0.020,0.680207674,-0.801,0.6663451744,-0.088,0.9700312412,-0.356,0.9069726675
CATSPER4,9,-0.030,0.7193173648,-1.001,0.6284227888,-0.111,0.9143888673,-0.197,0.8242278331
CATSPERB,10,0.443,0.107700514,0.153,0.3526684225,0.246,0.3091847477,0.285,0.153574372
CATSPERD,7,-0.199,0.8857135554,-0.887,0.2351629908,-0.201,0.6265590523,-0.424,0.2097443974
CATSPERG,10,-0.041,0.8415429906,-0.681,0.2721022338,-0.095,0.9987868647,-0.084,0.8990340203
CAV1,10,0.269,0.1057119156,-0.034,0.3936728088,0.060,0.8552434764,0.209,0.3219345703
CAV2,7,0.006,0.7509097816,-0.210,0.8289813286,-0.476,0.9487596317,-0.379,0.9813846556
CAV3,10,0.117,0.5628206658,0.132,0.776407254,0.053,0.9209057333,0.119,0.7163416739
CBFA2T2,9,0.160,0.534845711,0.419,0.2558327691,0.155,0.7811728912,0.076,0.7430591658
CBFA2T3,10,-0.009,0.7216951497,-2.591,6.17E-05,-0.194,0.9382492818,-0.081,0.6553367533
CBFB,9,-2.493,0.0025577178,-0.838,0.092138507,-0.007,0.8887326227,0.445,0.0528274413
CBL,9,-0.408,0.3628224507,-0.473,0.6145751045,0.177,0.5890602963,0.589,0.0141999603
CBLB,7,-0.069,0.9070827335,0.338,0.2540937342,0.083,0.6779656367,0.056,0.8746262138
CBLC,8,0.077,0.7358176274,-0.471,0.4198379838,0.096,0.9228333843,-0.005,0.9209703042
CBLL1,9,-0.868,0.0126959145,-0.536,0.7718749288,-0.763,0.6041654792,-0.630,0.6895252311
CBLN1,9,0.060,0.5186375594,0.272,0.3808086603,0.216,0.4321803002,0.354,0.1410163292
CBLN2,10,-0.074,0.8598765636,-0.167,0.7448840239,-0.027,0.9726644294,-0.050,0.5396567196
CBLN3,9,-0.132,0.4768538497,-0.510,0.438939706,-0.011,0.9050735492,0.180,0.6188257131
CBLN4,9,-0.043,0.6770699006,-0.011,0.4763624611,0.261,0.4638122935,-0.113,0.9024528604
CBR1,9,0.068,0.5644333085,-0.016,0.6204623226,0.106,0.6363280844,-0.046,0.6719871934
CBR3,10,0.298,0.1347280708,0.006,0.5667433162,-0.254,0.9203088231,0.138,0.8242278331
CBR4,10,0.236,0.1128847566,0.422,0.0267313356,0.631,0.0046072481,0.332,0.2647295635
CBS,8,0.189,0.2538030475,-0.416,0.8010018922,0.208,0.4999439816,0.230,0.7647244
CBWD1,9,-2.081,0.0711004444,-2.072,0.0039917848,-1.699,0.0138486163,-1.126,0.0106746853
CBWD2,10,-2.042,0.1284546329,-1.568,0.1071997216,-2.075,0.1225418232,-1.040,0.0897383152
CBWD3,9,-3.273,0.0050195788,-2.929,0.0012255992,-2.194,0.0014726837,-1.712,0.0011683694
CBWD5,9,-3.273,0.0050195788,-2.929,0.0012255992,-2.194,0.0014726837,-1.712,0.0011683694
CBWD6,9,-2.838,0.0414922135,-2.585,0.0018575074,-2.208,0.0029485739,-1.540,0.0011683694
CBX1,9,-0.691,0.7569212266,-1.361,0.8825635344,-0.680,0.4531888554,-0.917,0.6719871934
CBX2,10,0.297,0.3183983672,0.182,0.4115900524,0.227,0.2542416229,0.126,0.6027567228
CBX3,8,-0.283,0.3984508678,-0.041,0.8336950956,0.088,0.9311465753,-0.090,0.9959094566
CBX4,10,-0.451,0.4472060264,-0.325,0.4833868106,0.043,0.9830543824,0.026,0.9460415337
CBX5,10,0.029,0.8533955015,-0.180,0.603409603,0.050,0.9133379782,0.268,0.2928867455
CBX6,9,0.326,0.3134214877,-0.257,0.6369409968,-0.030,0.9858708222,-0.019,0.9969579594
CBX7,10,-0.065,0.783425859,-0.581,0.4815924535,0.018,0.979525289,-0.408,0.0556647157
CBX8,10,0.035,0.7969436212,0.402,0.0483170209,0.216,0.6532105513,0.185,0.6922279892
CBY1,9,-0.042,0.9244020846,-0.097,0.9387714335,-0.478,0.4422234805,-0.287,0.1705394127
CBY3,9,0.017,0.4931174911,-0.458,0.2065311502,-0.103,0.9665566774,-0.172,0.7512105223
CC2D1A,10,-0.027,0.879863287,-0.683,0.2565333977,0.121,0.5387555283,-0.312,0.9510841025
CC2D1B,9,-0.620,0.3865919024,-1.035,0.0909443337,-0.084,0.845533337,-0.272,0.6766260531
CC2D2A,10,-0.042,0.8285861397,0.207,0.6714830009,0.113,0.1854566867,0.258,0.6511964766
CC2D2B,9,0.267,0.2914598948,0.630,0.0879570785,0.160,0.4738555026,0.213,0.5880746505
CCAR1,10,-1.408,0.0058281702,0.075,0.8378064044,-0.918,0.0915586694,1.010,3.03E-05
CCAR2,10,-0.926,0.0266852232,-0.872,0.7850966547,-0.466,0.3672155741,-0.947,0.0899467395
CCBE1,9,0.536,0.0493179291,0.593,0.0692946975,0.397,0.3979170045,0.092,0.5269014648
CCBL1,9,0.123,0.5208242499,0.371,0.2565333977,0.193,0.6595164047,0.228,0.560777003
CCBL2,9,0.277,0.0588524499,0.150,0.6539580092,0.191,0.4912674423,0.344,0.167966626
CCDC101,9,-1.798,0.0005811228,-1.456,0.0052163758,-1.641,0.0003460096,-0.771,0.0104975743
CCDC102A,9,-0.283,0.6998799633,-0.933,0.4471782417,-0.102,0.9730129102,0.013,0.6787227861
CCDC102B,10,0.188,0.6018752951,0.565,0.0345201366,0.513,0.0534778544,0.312,0.4852220553
CCDC103,9,-0.168,0.9447651395,-0.151,0.9194309209,-0.280,0.5551945973,-0.244,0.93756704
CCDC104,9,-0.049,0.6157233903,-0.339,0.9701361036,0.147,0.6053446927,0.131,0.7839926687
CCDC105,9,-0.052,0.7612016789,-0.214,0.3031209644,0.011,0.8566289772,0.274,0.3718731571
CCDC106,9,-0.165,0.9890304611,-0.237,0.9771890512,-0.244,0.6041654792,-0.268,0.5132623901
CCDC107,9,0.097,0.6798317857,-0.166,0.8160211215,-0.075,0.9522655068,-0.161,0.803382453
CCDC108,10,0.160,0.2768430904,0.047,0.733936425,0.060,0.8703289415,0.190,0.4610501284
CCDC109B,8,0.264,0.1823472079,0.322,0.1686483,0.181,0.7090503625,-0.196,0.5774041358
CCDC11,9,-0.324,0.9535786774,-0.256,0.1019960227,-0.376,0.9221604914,-0.356,0.6958217524
CCDC110,10,0.217,0.2282511611,0.292,0.4382704114,0.108,0.7115172471,0.243,0.1199825999
CCDC111,10,0.024,0.6259572281,0.493,0.0694661099,-0.210,0.7553620781,0.218,0.387670876
CCDC112,9,-0.264,0.9770190115,0.397,0.0798073405,0.130,0.8424638473,0.207,0.3542198756
CCDC113,9,0.019,0.7659796581,0.139,0.5435259499,0.242,0.6695393559,0.308,0.2034152972
CCDC114,9,-0.979,0.099175986,-0.861,0.918605698,-0.128,0.9696179062,-0.553,0.7359910688
CCDC115,10,-2.095,0.0231709428,-2.197,0.0175398633,-1.258,0.1326446063,-0.685,0.2881478835
CCDC116,10,-1.154,0.3245957387,-4.685,0.0001281363,-1.972,0.262691014,-1.003,0.2682918459
CCDC117,10,0.343,0.0842660591,-0.074,0.7683384095,0.083,0.7279440542,0.198,0.4123215977
CCDC12,10,-1.177,0.0635175884,-1.240,0.1573875395,-0.713,0.0570836717,-1.249,0.2235893022
CCDC120,10,-0.216,0.5995347198,-0.714,0.3238542951,-0.248,0.9471461433,-0.180,0.9999747007
CCDC121,10,-0.083,0.6527555147,-0.153,0.8824743336,0.202,0.8305140225,0.073,0.63834329
CCDC122,8,0.149,0.6093988901,0.393,0.0524963742,0.117,0.6074143871,0.130,0.4777746452
CCDC124,10,-0.110,0.3096449934,-0.476,0.8533400272,-0.464,0.3419250491,-0.508,0.3230372665
CCDC125,9,-0.397,0.0885100355,-0.847,0.5667433162,0.128,0.8629167378,-0.423,0.6856054607
CCDC126,9,0.448,0.0496221613,0.469,0.1688533502,0.257,0.6015885613,0.138,0.3008144787
CCDC127,9,-0.074,0.9037260717,0.231,0.1898087013,0.086,0.6967550212,-0.012,0.9606126916
CCDC129,10,0.081,0.8791183886,0.306,0.1882541584,0.348,0.4031053399,0.225,0.5083501978
CCDC13,8,0.072,0.6737595928,-1.074,0.5157959588,0.143,0.9432449047,-0.082,0.928041854
CCDC130,10,-1.221,0.0098060487,-2.503,0.0019542717,-1.011,0.1306473491,-0.837,0.0128756354
CCDC132,10,0.221,0.109104526,0.603,0.0083637479,0.272,0.1394353527,-0.024,0.9185761515
CCDC134,10,0.042,0.6997264201,-0.123,0.9119734734,-0.135,0.8869256014,0.191,0.6092173656
CCDC135,7,-0.414,0.8140623228,-1.151,0.5204659293,-0.284,0.974812151,-0.793,0.5836203354
CCDC136,10,-0.104,0.9243277275,-0.324,0.9175684648,0.133,0.9403214282,-0.326,0.1111513727
CCDC137,8,-0.418,0.2995289718,-0.959,0.58241748,-0.152,0.7469823674,-0.319,0.8630966907
CCDC138,10,-0.112,0.9440801574,-0.561,0.2325907262,0.478,0.1931243106,0.027,0.7476397675
CCDC14,10,-0.017,0.7072399975,0.336,0.1551897868,0.286,0.4514436783,0.234,0.5442696239
CCDC140,9,0.082,0.3929104357,0.091,0.4594636696,0.286,0.5085140044,0.028,0.8858862205
CCDC142,10,-0.333,0.7080659397,-0.886,0.7770175128,-0.530,0.8071420977,-0.770,0.9022425943
CCDC144A,9,-0.259,0.99484639,-0.692,0.81286273,-0.095,0.9625539942,-0.200,0.9224660901
CCDC144NL,8,-0.665,0.3363407949,-0.428,0.3808235673,-0.246,0.8167937806,-0.536,0.3692575434
CCDC146,9,0.055,0.0866756922,-0.347,0.6581491862,-0.368,0.6433045603,-0.119,0.8998354582
CCDC147,8,-0.175,0.6540644058,-0.498,0.7894368324,-0.040,0.9299051707,-0.113,0.9638316377
CCDC148,10,0.011,0.8577735196,0.245,0.3019455683,0.052,0.9270830335,0.343,0.1924223177
CCDC149,10,-0.040,0.8011577667,0.151,0.5438315968,0.259,0.4744851692,-0.175,0.8822812925
CCDC15,9,0.465,0.0151807543,0.382,0.2993665122,0.092,0.8752721964,0.248,0.5800105659
CCDC150,9,0.380,0.026479291,0.500,0.093500366,0.102,0.8844108877,0.413,0.2150137113
CCDC151,10,-0.127,0.7216581329,-0.487,0.6913195879,-0.160,0.8175721894,-0.325,0.1733118748
CCDC152,9,0.370,0.0151831805,0.427,0.0450446241,0.288,0.4176260083,0.363,0.3095497621
CCDC153,10,-0.277,0.2319376704,-0.526,0.4632550391,0.024,0.6726088288,-0.183,0.6282382011
CCDC155,10,-0.727,0.2707214989,-0.764,0.4405211871,-0.393,0.8106253908,-0.333,0.9199027557
CCDC157,10,-0.708,0.5683468725,-1.275,0.3780867218,-0.529,0.803503594,-0.746,0.6674165479
CCDC158,9,-0.119,0.9913096693,-0.760,0.7744106122,-0.215,0.8621331243,-0.277,0.6242825786
CCDC159,9,-0.442,0.8303462803,-0.813,0.0798073405,-0.422,0.8585877627,-0.730,0.2625242815
CCDC160,9,0.138,0.1641595639,0.678,0.0148694637,-0.033,0.9894732458,0.198,0.4635686792
CCDC166,10,-0.116,0.8840467585,-0.235,0.6411066764,0.093,0.6491678072,0.025,0.9869833066
CCDC167,10,0.086,0.6059482811,0.254,0.4854138549,-0.032,0.9139961217,0.181,0.5544196516
CCDC169,8,0.187,0.3482384266,0.611,0.0113502342,0.070,0.8402110857,0.337,0.3943645206
CCDC169-SOHLH2,10,-0.156,0.9792471432,0.496,0.0318901864,0.361,0.4018733338,0.289,0.1251416302
CCDC17,8,-0.056,0.9775408777,-0.378,0.5157959588,0.212,0.6925107973,0.132,0.334637944
CCDC170,9,-0.101,0.7912211666,-0.356,0.4647300194,0.003,0.8068689539,0.074,0.4474534652
CCDC171,10,-0.165,0.65792031,0.188,0.1230852114,0.078,0.8383639911,-0.141,0.9880713118
CCDC172,6,0.487,0.0101782265,0.537,0.2384284848,0.397,0.3712109148,0.376,0.3990631516
CCDC173,7,0.014,0.391104122,0.008,0.6458561334,0.184,0.8629167378,-0.071,0.9718076062
CCDC174,9,-0.572,0.3040784497,-0.717,0.6501934042,-1.019,0.0535334797,-0.364,0.9867369197
CCDC175,10,-0.150,0.6994088827,-0.246,0.3895584959,-0.202,0.4246050007,-0.374,0.6895252311
CCDC176,10,0.014,0.9190384732,-0.271,0.5124595469,-0.045,0.8128311162,0.155,0.5254440721
CCDC177,10,0.109,0.4433675894,0.042,0.6905114396,0.256,0.5852839571,-0.107,0.9120674912
CCDC178,10,0.211,0.5447857905,0.114,0.7956830141,0.102,0.6745127277,0.335,0.0952329014
CCDC179,10,0.301,0.238978158,0.629,0.007533067,0.243,0.3311420565,0.164,0.5185401842
CCDC180,8,-0.503,0.8336071483,-0.634,0.9551380337,-0.327,0.8428029522,0.131,0.4959544889
CCDC181,10,-0.059,0.8224763806,-0.173,0.9117461229,-0.066,0.9441154725,-0.485,0.3845024535
CCDC19,10,-0.314,0.704511917,-0.917,0.7977540927,-0.269,0.8916491496,-0.934,0.4325147864
CCDC22,10,-0.425,0.7495891464,-0.430,0.9091097867,0.218,0.6468323501,-0.590,0.3969387952
CCDC23,9,0.006,0.8931285141,-0.213,0.9001417819,0.069,0.9266431371,-0.080,0.9105352699
CCDC24,9,-0.301,0.4657327764,-1.219,0.3080211305,-0.384,0.4436775481,-0.275,0.6922279892
CCDC25,10,0.060,0.4784479182,-0.052,0.8158948986,0.005,0.9651419784,-0.022,0.9399388901
CCDC27,8,-1.734,0.4441552827,-1.916,0.4223061335,-1.346,0.5519148409,-1.203,0.853875541
CCDC28A,10,0.016,0.866466946,0.138,0.1668857014,0.432,0.2287406994,-0.040,0.9495158633
CCDC28B,10,-0.395,0.5010872775,-1.079,0.69265184,-0.397,0.6981623269,-0.567,0.8602266157
CCDC3,10,0.060,0.6425123977,-0.412,0.8470835999,0.249,0.6216048064,-0.402,0.7035961285
CCDC30,10,-0.214,0.6592619937,-0.472,0.3003749334,-0.370,0.9654397239,-0.580,0.9686671519
CCDC33,10,-1.112,0.0003210968,0.258,0.418000414,-0.221,0.783428265,0.056,0.6031358599
CCDC34,8,0.196,0.3987861018,-0.046,0.8926997281,0.363,0.3214445177,-0.040,0.66210445
CCDC36,8,-0.189,0.6616961752,0.227,0.3365603995,0.057,0.8624957158,0.000,0.9077305619
CCDC37,10,-0.642,0.7291814863,-0.968,0.9026026952,-0.476,0.9528533888,-0.331,0.7909299621
CCDC38,7,-0.121,0.6162119204,-0.142,0.9381923761,-0.154,0.9375950847,-0.180,0.724217783
CCDC39,10,0.111,0.5979378155,0.362,0.1366008739,0.162,0.3188840092,0.136,0.7205150246
CCDC40,10,-0.022,0.9479697429,-1.007,0.3076645529,-0.120,0.8887326227,-0.118,0.9875364462
CCDC41,10,0.080,0.6139104299,0.378,0.4186207348,0.539,0.1450478537,0.072,0.813930779
CCDC42,10,-0.194,0.99484639,-0.495,0.7805030179,-0.209,0.7146258291,-0.040,0.9716576716
CCDC42B,10,-0.069,0.1666384708,-0.728,0.6002528442,-0.108,0.9964112955,0.060,0.9782313828
CCDC43,10,-0.390,0.8130818307,-0.705,0.2672843302,-0.906,0.225169226,-0.861,0.0142957478
CCDC47,10,-0.795,0.0467663334,-0.406,0.8451786039,-0.463,0.3575954397,-0.442,0.5088705947
CCDC50,10,0.280,0.2467699047,0.398,0.0986708933,0.084,0.7197521712,0.022,0.7546758932
CCDC51,10,0.087,0.3452219273,-0.140,0.6988186948,-0.357,0.4365724834,-0.115,0.8322311938
CCDC53,10,-0.645,0.2814481014,-0.295,0.8980106332,-0.387,0.8171823216,-0.477,0.9618633384
CCDC54,10,-0.152,0.8724541422,0.088,0.3329067358,0.034,0.9855885912,0.314,0.624153854
CCDC58,9,-0.451,0.0499037312,-0.824,0.3748593381,-0.566,0.5159214924,-0.485,0.3620202152
CCDC59,8,-1.117,0.0051371961,-0.688,0.3244454631,-1.064,0.0343918561,-0.741,0.1444196002
CCDC6,10,-0.499,0.7499004617,-0.382,0.815769896,-0.201,0.6127046605,0.191,0.2491061704
CCDC60,10,0.141,0.5734062918,-0.363,0.9939724262,-0.105,0.8604525199,0.176,0.6325971638
CCDC61,8,-0.400,0.271596948,-0.335,0.6915153176,-0.060,0.978994579,-0.007,0.6085611594
CCDC62,9,-0.083,0.7957025692,-0.311,0.4531846315,-0.021,0.9783475277,0.151,0.7227763511
CCDC63,10,-0.227,0.5831053947,-0.520,0.3442976156,-0.063,0.879986241,-0.329,0.7053904698
CCDC64,9,-0.609,0.8536740271,-1.655,0.2494980145,-0.364,0.8814844688,-0.518,0.6665066757
CCDC64B,10,-0.741,0.1637201667,-0.962,0.3519354241,-0.505,0.8445699267,-0.268,0.8836716116
CCDC65,10,-0.206,0.8872869487,-0.529,0.7767816076,-0.010,0.8536823415,-0.216,0.6768714716
CCDC66,10,-0.034,0.9247781521,0.055,0.6199488001,0.439,0.024734192,-0.056,0.9957513502
CCDC67,9,0.129,0.5109251386,0.219,0.3103555975,-0.021,0.9777358804,-0.025,0.8242278331
CCDC68,10,0.068,0.5628206658,0.048,0.7770175128,0.036,0.3904085097,-0.058,0.9376216509
CCDC69,8,0.179,0.548124354,-0.391,0.7471555309,0.120,0.6156231886,0.000,0.7873304262
CCDC7,10,0.154,0.5044713662,0.361,0.1149758885,0.526,0.033915516,0.482,0.0273673076
CCDC70,8,-0.157,0.9647036898,-0.260,0.8685843973,0.267,0.6628750719,0.330,0.2423171596
CCDC71,10,0.218,0.4028019648,-0.337,0.8613606841,0.323,0.3734375336,0.279,0.2075009799
CCDC71L,10,-0.679,0.9062199857,-2.117,0.0723842879,-0.677,0.520697889,-0.702,0.5485103265
CCDC73,10,-0.089,0.9295845423,-0.167,0.6068778582,0.062,0.7436888437,-0.184,0.8543678269
CCDC74A,9,0.283,0.0767393481,0.426,0.3994897126,0.167,0.2093268602,0.109,0.5769637126
CCDC74B,10,-0.002,0.9262039068,-0.469,0.379645111,0.066,0.6668347059,0.056,0.8538153497
CCDC77,9,-0.238,0.5192148728,-1.193,0.1624733906,0.099,0.5674275413,0.070,0.8817766593
CCDC78,9,-0.175,0.7130611574,-0.495,0.331401053,-0.091,0.703214754,-0.113,0.9999747007
CCDC8,10,0.032,0.6259494932,-0.112,0.9278732232,0.254,0.4870135731,-0.268,0.9876787051
CCDC80,10,0.096,0.7625704394,0.156,0.4214785976,0.166,0.6216048064,-0.151,0.8764652596
CCDC81,10,0.217,0.1627286742,0.070,0.3254947231,0.253,0.7721469988,-0.014,0.6593766897
CCDC82,10,-0.023,0.4433675894,-0.037,0.6112717144,0.123,0.6034429952,-0.024,0.4269770321
CCDC83,10,0.062,0.3367193744,-0.011,0.8651525788,0.145,0.4317762175,-0.030,0.937848606
CCDC84,10,-2.408,0.0001603149,-1.846,0.0025890283,-1.829,0.0197896739,-1.369,0.0285871099
CCDC85A,10,-0.421,0.7803063232,-0.998,0.981700755,-0.081,0.9912036178,-0.084,0.659258107
CCDC85B,8,-0.141,0.9895458724,-0.343,0.4352238251,0.131,0.8201738431,0.048,0.934922536
CCDC85C,10,-0.167,0.7740812141,0.119,0.3600971936,0.247,0.3099103593,-0.467,0.4688854282
CCDC86,9,-1.571,0.0019227203,-1.466,0.0028374487,-1.250,0.0004483377,-1.278,0.0042157212
CCDC87,10,-0.059,0.5938698182,-0.918,0.2592409241,0.016,0.8997853759,0.192,0.4669516707
CCDC88A,8,-0.201,0.9518043526,-0.040,0.8336950956,0.045,0.8382502353,0.168,0.4206579048
CCDC88B,7,-0.587,0.1613437383,-1.186,0.0844406636,0.024,0.8646726245,-0.071,0.5804383534
CCDC88C,9,0.087,0.5549228808,-0.232,0.6211441849,-0.003,0.9240491133,0.259,0.7058540099
CCDC89,9,-0.293,0.7356473071,-0.016,0.6150301566,-0.395,0.546108009,-0.342,0.7159394906
CCDC9,9,-0.539,0.1136585989,-0.677,0.402104266,-0.424,0.3523155192,-0.414,0.9511521115
CCDC90B,10,0.319,0.030683165,-0.312,0.5045287117,-0.124,0.8171823216,-0.086,0.8412196662
CCDC91,10,0.164,0.3495457936,0.279,0.1827826229,0.155,0.6742875157,0.466,0.0883127955
CCDC92,10,0.193,0.1362417394,-0.009,0.4807581689,0.216,0.7635377332,0.109,0.766552741
CCDC93,9,-0.701,0.1503305073,-0.888,0.3280860906,0.072,0.8233408797,-0.058,0.9098339636
CCDC94,10,-1.743,0.001366169,-2.912,0.0005411255,-1.638,0.1507264816,-2.308,0.0005641824
CCDC96,8,-0.969,0.0587092247,-0.881,0.3929755522,-0.259,0.8275666837,-0.557,0.1563276545
CCDC97,8,-0.116,0.6064610711,-0.367,0.8516837361,0.058,0.8402214776,-0.375,0.8781616355
CCER1,10,-0.862,0.4479507408,-1.664,0.2681077625,-0.430,0.6389817296,-0.960,0.5317145793
CCHCR1,10,-0.066,0.8898638721,-0.278,0.621511783,-0.069,0.9139961217,-0.085,0.4784921919
CCIN,9,-0.015,0.6374927601,-0.336,0.6186938678,0.051,0.7048446854,-0.314,0.3861304138
CCK,10,0.283,0.116238164,-0.075,0.9714556402,-0.055,0.9361081659,0.078,0.9297484952
CCKAR,10,0.048,0.4795196733,0.308,0.1066715283,0.102,0.6727203,0.235,0.2194131257
CCKBR,9,0.116,0.5693710759,-0.124,0.5741943182,-0.072,0.9571950758,-0.178,0.966922945
